"codImport";"idEntImport";"nombre";"nombre corto";"descripción";"fechaConstitucion";"nombreDireccion";"direccion";"detalleDireccion";"direccionBreve";"cp";"ciudad";"lat";"lon";"email";"Telefono";"Pagina web";"Facebook";"Twitter";"tipo";"clasificacion";"created";"tipoCTS";"tipo_space";"tipo_topic";"tipo_agent";"direccionCompleta"
"CIVICS";374;"Albergue San Fermín";;"Albergue juvenil gestionado por una entidad de desarrollo comunitario sin ánimo de lucro . Formación, Empleo, Género, Educación, Intercultularidad, acceso a las TICs, trabajo comunitario y de participación se convierten en ejes fundamentales de su trabajo.";;"Albergue San Fermín";"Avda. de los Fueros, 36";;;;"Madrid";"40.370342";"-3.688804";"albergue@san-fermin.org";;"http://www.san-fermin.org/index.php/albergue";;;"Asociaciones de Vecinos";"Urbanismo";"2015-06-16 20:05:45+00";"organizacion";"Encuentro Diálogo y Corresponsabilidad";"Derechos e Igualdad";"Asambleas Populares, Mareas, Plataformas y Grupos de Trabajo";
"CIVICS";375;"La Piluka";;"Espacio autogestionado para compartir recursos, saberes y acción política. En el centro se localizan la Plataforma Barrio del Pilar en lucha, la AV La Flor, la Oficina de Vivienda, Amnistía Internacional de Fuencarral- El Pardo...";;"La Piluka";"Plaza de Corcubión, 16";;;;"Madrid";"40.476745";"-3.707354";;917304527;"http://www.lapiluka.org";;;;"Urbanismo";"2015-06-16 20:05:45+00";"organizacion";"Otros";"Ecología Urbana y Consumo";"Organizaciones y Asociaciones de Vecinos";"Universidad Politécnica de Madrid, Avda. Juan de Herrera, 4, 28040 Madrid, España"
"CIVICS";377;"Escuela Popular de Oporto";;"La escuela popular es una organización de base para la promover la educación de personas adultas, el aprendizaje colectivo y la transformación social. Se basa en el voluntariado y la gratuidad.";;"Escuela Popular de Oporto";"C/ Busaco, 2";;;;"Madrid";"40.382072";"-3.725253";"admin@escuelapopulardeoporto.org";;"http://www.escuelapopulardeoporto.org/";;;"Escuela";"Arte";"2015-06-16 20:05:45+00";"organizacion";"Encuentro Diálogo y Corresponsabilidad";"Deporte";"Iniciativa Ciudadana";
"CIVICS";378;"Madstock";;"Asociación de estudiantes de arquitectura cuyo objetivo principal es experimentar en la construcción a escala 1:1, re-interpretando el significado y promoviendo el uso de materiales existentes y reciclados. Abierto a todos aquellos estudiantes, colectivos, trabajadores, parados, extraterrestres… a hacer una reflexión conjunta, debate o crítica y, por supuesto, a unirse a la acción colectiva.";;;"Avda. Juan de Herrera, 4";;;;"Madrid";"40.439062";"-3.731653";"madstock@madstock.es";;"https://madstck.wordpress.com/";;"@_madstock";"Asociaciones de Vecinos";"Urbanismo";"2015-06-16 20:05:45+00";"organizacion";"Encuentro Diálogo y Corresponsabilidad";"Derechos e Igualdad";"Iniciativa Ciudadana";
"CIVICS";380;"Banco de Intercambio de Semillas";;"El Banco de Intercambio de Semillas es una iniciativa encaminada hacia la descentralización del control de la semilla y un modo de poner en cuestión los modelos de gestión que generamos o de los que formamos parte en la cultura y en la vida.";;;"Paseo de la Chopera, 14";;;;"Madrid";"40.392429";"-3.697202";"info@ecosecha.es";;"http://ecosecha.blogspot.com.es/2010/10/recordad-banco-de-intercambio-de.html";;;"Asociaciones de Vecinos";"Urbanismo";"2015-06-16 20:05:45+00";"organizacion";"Centro Social";"Mediación y Facilitación";"Organizaciones y Asociaciones de Vecinos";
"CIVICS";381;"El Campo de Cebada ";;"Somos vecinos y vecinas del Distrito Centro agrupados, para fomentar el uso temporal del solar del derribado polideportivo de La Latina, durante el tiempo en el que las obras previstas para su nuevo uso urbanistíco no se lleven a cabo; se prevee que pasen años antes de que esto ocurra y no queremos un espacio vacío y abandonado en el centro de Madrid. Creemos en el disfrute del espacio público, en donde el dialogo y las relaciones sociales entre vecin@s apenas se dan. La intención es que el solar de cabida a todo tipo de propuestas/actividades/proyectos de tipo cultural, social, artistíco, deportivo… para el uso y disfrute de las personas del barrio y de Madrid.";;"El Campo de Cebada ";"Plaza de la Cebada";;;;"Madrid";"40.411276";"-3.708763";"infocampodecebada@gmail.com";;"http://elcampodecebada.org/";"https://www.facebook.com/El-campo-de-Cebada-180735625274126/";"@campodecebada";"Movilidad";;"2015-06-16 20:05:45+00";"colectivo";"Encuentro Diálogo y Corresponsabilidad";"Mediación y Facilitación";"Organizaciones y Asociaciones de Vecinos";
"CIVICS";382;"Patio Maravillas";;"Espacio polivalente autogestionado de libre acceso que ha transitado por varios espacios, siempre en el barrio de Malasaña. El colectivo reclama la cesión de un espacio público. En El patio Maravillas puedes encontrar un taller de bicicletas, clases, talleres, exposiciones, proyecciones cinematográficas, conciertos... Es, además, un centro de reuniones de asociaciones, colectivos y plataformas sociales.    ";;"Patio Maravillas";"C/ Divino Pastor, 9";;;;"Madrid";"40.42737";"-3.702722";"coordinacionpatio@gmail.com";;"http://patiomaravillas.net/";"https://www.facebook.com/patiomaravillas.csa";"@patiomaravillas";"Apoyo Mutuo";"Derechos Humanos";"2015-06-16 20:05:45+00";"colectivo";"Encuentro Diálogo y Corresponsabilidad";"Mediación y Facilitación";"Organizaciones y Asociaciones de Vecinos";"C/ de las Cuevas de Almanzora, 46, 28033 Madrid, España"
"CIVICS";383;"Esta es Una Plaza";;"Un grupo de vecinas y vecinos recuperó esta parcela pública abandonada y la convirtió en un jardín comunitario, en un espacio de encuentro y convivencia abierto al desarrollo de actividades que fomentan la ecología, la reutilización y el decrecimiento.";;"Esta es Una Plaza";"C/ Doctor Fourquet, 24";;;;"Madrid";"40.407246";"-3.698687";"estaesunaplaza@gmail.com";;"http://estaesunaplaza.blogspot.com.es/";"https://www.facebook.com/estaesunaplaza";"@estaesunaplaza";"Asociaciones de Vecinos";"Urbanismo";"2015-06-16 20:05:45+00";"organizacion";"Otros";"Mediación y Facilitación";"Organizaciones y Asociaciones de Vecinos";
"CIVICS";385;"La Tabacalera";;"Centro social autogestionado que ocupa 9.200 m2 de los 30.000 de la antigua Fábrica de Tabacos de Embajadores, catalogado como Bien de Interés Cultural (BIC) y está adscrito al Ministerio de Cultura. En el centro se muestran iniciativas bajo criterios de cultura libre y gratuita, cooperación, horizontalidad, transparencia, uso solidario y responsable de los recursos: teatro, música, danza, pintura, conferencias, reuniones, audiovisuales, talleres, eventos, intervenciones en el barrio, un huerto... ¡y mucho más!";;"La Tabacalera";"C/ Embajadores, 51";;;;"Madrid";"40.38833";"-3.691135";"comunicacion.tbc@gmail.com";;"http://latabacalera.net/";"https://www.facebook.com/CSA-La-Tabacalera-de-Lavapi%C3%A9s-131688400207517/";"@latabacalera";"Apoyo Mutuo";"Derechos Humanos";"2015-06-16 20:05:45+00";"organizacion";"Encuentro Diálogo y Corresponsabilidad";"Derechos e Igualdad";"Organizaciones y Asociaciones de Vecinos";"C/ Abárzuza, 28033 Madrid, España"
"CIVICS";386;"Kasa Pública de Mujeres La Eskalera Karakola";;"Centro social que nace en 1996 bajo los principios de autonomía, feminismo y autogestión. Se financia con cuotas de socias y donaciones individuales. Su actividad está principalmente destinada a promover la participación ciudadana de las mujeres y a abordar temas como la precariedad vital y laboral, el derecho a la ciudadanía de las personas migrantes o los derechos LGTBQ. ";;"Kasa Pública de Mujeres La Eskalera Karakola";"C/ Embajadores, 52";;;;"Madrid";"40.408063";"-3.704563";"zuma1917@gmail.com";;"http://www.eskalerakarakola.org/";"https://es-la.facebook.com/laeskalerakarakola";"@laEkka";"Asamblea";;"2015-06-16 20:05:45+00";"colectivo";"Otros";"Apoyo Mutuo y Cuidados";"Iniciativa Ciudadana";"C/ Acebes, 6, 28021 Madrid, España"
"CIVICS";387;"Mercado de San Fernando";;"San Fernando es mucho más que un mercado, es ""un lugar de encuentro para hacer barrio"" en el que se puede comprar verdura ecológica, cervezas artesanales, libros al peso..., bailar swing, participar en talleres y disfrutar de conciertos, representaciones teatrales y ¡mucho más! ";;"Mercado de San Fernando";"C/ Embajadores, 41";;;;"Madrid";"40.407392";"-3.703863";"informacion@mercadodesanfernando.es";;"http://www.mercadodesanfernando.es/";"https://www.facebook.com/mercadosanfernando";"@MER_SANFERNANDO";"Empresa Social";"Centro Social";"2015-06-16 20:05:45+00";"organizacion";"Trabajo Colaborativo";"Política y Gobernanza";"Organizaciones y Asociaciones de Vecinos";
"CIVICS";388;"Bicicrítica Madrid";;"Masa crítica de ciclistas que toma cuerpo los últimos jueves de mes a una hora y en un punto: a las 20h en la plaza de Cibeles. Los recorridos, de unos 10-15 kilómetros, son asequibles para todo tipo de ciclistas. El colectivo reivindica espacios y normas de circulación que permitan convertir la bicicleta en un medio de transporte seguro en la gran ciudad.   ";;;"Plaza de Cibeles";;;;"Madrid";"40.41954";"-3.692814";;;"http://madrid.bicicritica.com/";"https://www.facebook.com/BicicriticaMadrid";"@labicicritica";;"Urbanismo";"2015-06-16 20:05:45+00";"colectivo";"Centro Social";"Otra";"Organizaciones y Asociaciones de Vecinos";"Torre Arias, 28027 Madrid, España"
"CIVICS";389;"Traficantes de Sueños";;"Traficantes de Sueños es un proyecto de producción y comunicación política que aspira a aportar contenidos y a animar debates útiles para la acción colectiva transformadora. Desde su nacimiento en 1995, los ""traficantes"" han creado una librería asociativa, una editorial, una distribuidora, un taller de diseño de materiales y Nodos Comunes, un espacio de autoformación y discusión. ";;"Traficantes de Sueños";"C/ Duque de Alba, 13 ";;;;"Madrid";"40.411686";"-3.706267";"libreria/editorial@traficantes.net";;"http://www.traficantes.net/";"https://es-la.facebook.com/traficantes.desuenos";"@traficantes2010";"Apoyo Mutuo";;"2015-06-16 20:05:45+00";"organizacion";"Otros";"Mediación y Facilitación";"Organizaciones y Asociaciones de Vecinos";
"CIVICS";390;"ECOOO";;"Ecooo es empresa de no lucro cuyos beneficios de destinan a generar tejido social y a campañas de divulgación y sensibilización sobre la transición hacia un modelo energético basado en el ahorro, la eficiencia y las energías renovables. Su local de la C/ Escuadra es un centro de coworking y un espacio de desarrollo de eventos formativos e informativos. ";;;"C/ Escuadra, 11";;;;"Madrid";"40.409819";"-3.700036";"contacto@ecooo.es";;"http://www.ecooo.es/";"https://www.facebook.com/ecooo.revolucionsolar";"@Ecooo_";"Asamblea";;"2015-06-16 20:05:45+00";"colectivo";"Encuentro Diálogo y Corresponsabilidad";"Urbanismo y Patrimonio";"Organizaciones y Asociaciones de Vecinos";"C/ de la Alhambra, 21, 28047 Madrid, España"
"CIVICS";392;"Espacio Vecinal Arganzuela ";"EVA";"Asociaciones vecinales, colectivos que dieron vida al Centro Social La Traba y vecinas y vecinos a título individual forman parte de EVA, un espacio que impulsa actividades sociales, educativas y culturales gestionadas de manera colectiva y democrática para promover la participación democrática de los vecinos de Arganzuela y dignificar su entorno. Reclama la cesión de parte del antiguo Mercado de Frutas y Verduras de Legazpi para la autogestión de este espacio muncipal. ";;"Espacio Vecinal Arganzuela ";"Plaza de Legazpi";;;;"Madrid";"40.390801";"-3.695041";"evarganzuela@gmail.com";;"http://evarganzuela.org/eva/";"https://www.facebook.com/evarganzuela";"@evArganzuela";"Urbanismo";"Educación";"2015-06-16 20:05:45+00";"colectivo";"Encuentro Diálogo y Corresponsabilidad";"Urbanismo y Patrimonio";"Organizaciones y Asociaciones de Vecinos";
"CIVICS";393;"Make Space";;"Espacio dedicado a la fabricación digital en el que se ofrecen las últimas herramientas para la creación de prototipos y el desarrollo de productos y proyectos creativos y tecnológicos. La iniciativa, gestionada por una asociación sin ánimo de lucro e impulsada por los miembros de una comunidad de desarrolladores de tecnología e innovación, practica la producción colaborativa, el intercambio de saberes y la creatividad. ";;;"C/ Pedro Unanúe, 16";;;;"Madrid";"40.403532";"-3.694575";"info@makespacemadrid.org";;"http://makespacemadrid.org/";"https://www.facebook.com/Makespace-Madrid-477334925648477";"@MakeSpaceMadrid";"Espacio Vecinal";"Política";"2015-06-16 20:05:45+00";"colectivo";"Encuentro Diálogo y Corresponsabilidad";"Mediación y Facilitación";"Administración Pública";"C/ del Ánade, 10, 28019 Madrid, Spain"
"CIVICS";394;"Centro Social Seco";;"El centro social que nació en 1991 con la okupación del colegio Juventud autogestiona, tras años de lucha por su realojo, una parte del centro cultural muncipal Luis Peidró. En este espacio, en el que conviven la AV Los Pinos de Retiro Sur, PAH Madrid, grupos de consumo ecológico, un club de lectura de novela negra, un grupo de tricontantes, la asamblea del 15M Retiro, el huerto urbano de Adelfas, un taller de bicis..., puedes participar en decenas de actividades culturales, reivindicativas y formativas.  ";;"Centro Social Seco";"C/ Luis Peidró, 2";;;;"Madrid";"40.396051";"-3.67308";"centrosocialseco@gmail.com";;"http://www.cs-seco.org/";"https://www.facebook.com/Centro-Social-Seco-455562874523397/";"@cs_seco";"Espacio Vecinal";"Centro Social";"2015-06-16 20:05:45+00";"colectivo";"Encuentro Diálogo y Corresponsabilidad";"Mediación y Facilitación";"Organizaciones y Asociaciones de Vecinos";"C/ Anastasio Herrero, 10, 28020 Madrid, España"
"CIVICS";395;"PAH Madrid";;"Afectados por la estafa hipotecaria y personas en riesgo de desahucio se coordinan en este espacio de lucha y de ayuda mutua para trabajar, de forma colectiva, en defensa del derecho a una vivienda digna, un derecho humano fundamental sistemáticamente vulnerado.   ";;"Centro Social Seco";"C/ Luis Peidró, 2";;;;"Madrid";"40.396051";"-3.67308";"informacion@afectadosporlahipotecamadrid.net";;"http://www.afectadosporlahipotecamadrid.net/";"https://www.facebook.com/Plataforma-Afectados-Hipoteca-PAH-MADRID-125266304223405/";"@Pah_Madrid";"Asociaciones de Vecinos";"Urbanismo";"2015-06-16 20:05:45+00";"organizacion";"Encuentro Diálogo y Corresponsabilidad";"Urbanismo y Patrimonio";"Iniciativa Ciudadana";
"CIVICS";396;"Mobb28";;"Movimiento de “ballers” que practica el streetball, una modalidad del baloncesto que se juega en canchas situadas en parques y Calles directamente relacionado con la cultura musical, la integración y la cultura audiovisual creando lazos de solidaridad entre colectivos y favoreciendo la unión, la cohesión social, el respeto y el cuidado del entorno, empezando por las canchas. ";;;"C/ Luis Mitjans, 56";;;;"Madrid";"40.403479";"-3.669093";"ligabasketcooperativa@gmail.com";;"http://www.bball4real.com/";"https://www.facebook.com/mobb28";"@bball4real1";"Asociaciones de Vecinos";"Urbanismo";"2015-06-16 20:05:45+00";"organizacion";"Centro Social";"Apoyo Mutuo y Cuidados";"Administración Pública";
"CIVICS";399;"SecoT";;"Asociación sin ánimo de lucro formada por profesionales cualificados jubilados, prejubilados o en activo que, con espíritu altruista, desean ofrecer su experiencia y conocimientos en gestión empresarial a quienes lo necesitan. Asesoran de forma confidencial ofreciendo su diagnóstico y proponiendo acciones para el desarrollo empresarial, dando respuesta a las preguntas qué hacer, cuándo, cómo y dónde. ";;;"C/ General Oráa, 39";;;;"Madrid";"40.436241";"-3.682189";;;"http://www.secot.org/";"https://www.facebook.com/SECOT-310594118758";"@Secot_";"Apoyo Mutuo";"Consumo";"2015-06-16 20:05:45+00";"organizacion";"Trabajo Colaborativo";"Cultura Libre";"Iniciativa Ciudadana";
"CIVICS";401;"Espacio Pradillo";;"Un espacio que desea intervenir en la esfera pública generando obras y conocimiento, en diálogo con los artistas y la sociedad de nuestro tiempo.Teatro Pradillo no se concibe sin la Comunidad Pradillo, núcleo abierto de artistas, teóricos, gestores y técnicos, grupo de pensamiento y acción para un teatro que tiene la vocación de ser plural y permeable, que trabajan en red libre, desarrollando proyectos con diversas estructuras locales, nacionales e internacionales.";;"Espacio Pradillo";"C/ Pradillo, 12";;;;"Madrid";"40.448587";"-3.674796";"info@teatropradillo.com";;"http://teatropradillo.com/";"https://www.facebook.com/espaciopradillo";"@TeatroPradillo";"Asociaciones de Vecinos";"Urbanismo";"2015-06-16 20:05:45+00";"organizacion";"Encuentro Diálogo y Corresponsabilidad";"Cultura Libre";"Organizaciones y Asociaciones de Vecinos";
"CIVICS";402;"Radio Almenara";;"Radio libre y comunitaria del barrio de la Ventilla que desde 1991 da voz a las asociaciones, colectivos e iniciativas que no tienen cabida en los medios de comunicación aunque también desarrollan talleres de participación, programación, actividades culturales...";;;"C/ Magnolias, 35";;;;"Madrid";"40.468642";"-3.692444";"almenara@radioalmenara.net";;"http://www.radioalmenara.net/ ";"https://www.facebook.com/RadioAlmenara ";"@almenararadio";"Asociaciones de Vecinos";"Urbanismo";"2015-06-16 20:05:45+00";"organizacion";"Encuentro Diálogo y Corresponsabilidad";"Política y Gobernanza";"Iniciativa Ciudadana";
"CIVICS";403;"La Enredadera de Tetuán";;"Espacio okupado autogestionado de Tetuán que acoge diferentes actividades propuestas y desarrolladas por el vecindario (yoga, taller de bicis, cuentacuentos...) y colectivos, como el grupo de Stopdesahucios, el Banco de Alimentos de Tetuán... Aquí encontrarás gente diferente haciendo cosas diferentes, dejándose enredar y enredando.";;"La Enredadera de Tetuán";"C/ Anastasio Herrero, 10";;;;"Madrid";"40.456611";"-3.700984";"enredadera@riseup.net";;"http://laenredaderadetetuan.blogspot.com/";"https://es-la.facebook.com/La-Enredadera-de-Tetu%C3%A1n-398049643544229";"@La_Enre_tetuan";"Escuela";;"2015-06-16 20:05:45+00";"organizacion";"Encuentro Diálogo y Corresponsabilidad";"Política y Gobernanza";"Iniciativa Ciudadana";"C/ Busaco, 2, 28025 Madrid, España"
"CIVICS";407;"Colectivo 1984";;"Colectivo de Aravaca y Pozuelo formado por vecin@s de dichos barrios. Realizan multitud de actividades culturales, políticas y de ocio, tales como video-forums, charlas, las fiestas de primavera del Colectivo o las fiestas de la Rosa Luxemburgo.";;;"C/ Rosa Luxemburgo, s/n - local 2";;;;"Madrid";"40.3802074";"-3.6405077";"colectivo1984@yahoo.es";;"http://www.nodo50.org/colectivo1984";"https://www.facebook.com/Colectivo1984";;"Asociaciones de Vecinos";"Urbanismo";"2015-06-16 20:05:45+00";"organizacion";"Encuentro Diálogo y Corresponsabilidad";"Urbanismo y Patrimonio";"Organizaciones y Asociaciones de Vecinos";
"CIVICS";408;"Azhor";;"Cooperativa de servicios promovida e integrada por un grupo de vecinos desempleados de larga duración.";;;"C/ Abarzuza, 31 - Bajo";;;;"Madrid";"40.476181";"-3.649647";"azhorservicios@hotmail.com";674564710;;"https://www.facebook.com/azhormadrid";;"Asociaciones de Vecinos";"Federación";"2015-06-16 20:05:45+00";"organizacion";"Encuentro Diálogo y Corresponsabilidad";"Urbanismo y Patrimonio";"Organizaciones y Asociaciones de Vecinos";
"CIVICS";409;"Plataforma Campamento Sí";;"Plataforma ciudadana que trabaja para defender los terrenos de Campamento de operaciones especulativas. Reclama la construcción de equipamientos públicos y la creación de un corredor verde entre la zona del río Manzanares y el Parque de Guadarrama.  ";;;"Avda. Extremadura";"cuarteles Campamento";;;"Madrid";"40.38769";"-3.788183";"salvemoscampamento@gmail.com";;;"https://www.facebook.com/campamentosi";"@campamento_si";"Asociaciones de Vecinos";"Urbanismo";"2015-06-16 20:05:45+00";"organizacion";"Encuentro Diálogo y Corresponsabilidad";"Mediación y Facilitación";"Iniciativa Ciudadana";
"CIVICS";410;"La Caba de Aluche";;"Con “B” de “Barrio”. Se trata de un centro social impulsado por vecinos y vecinas de Aluche en 2010. Alberga grupos de cooperativas agroecológicas (SaS, BAH, A Mordiskos), un grupo de mamás, papás y peques (PequeCaba), una escuela popular que imparte clases de castellano (Escuela Popular de Aluche), una biblioteca popular (La Candela), sesiones de juegos de mesa (Jugones), un grupo de reflexión sobre antropología y derechos humanos. Un sitio donde encontrarse, relacionarse, comunicarse y hacer, porque en realidad, todo está por hacer. ";;"La Caba de Aluche";"C/ Tembleque, 136";;;;"Madrid";"40.392293";"-3.766497";"info@lacaba.net";;"http://www.lacaba.net/";"https://www.facebook.com/La-CABA-Casa-Autogestionada-del-Barrio-de-Aluche-449084801825529/";"@lacabaluche";"Asociaciones de Vecinos";"Urbanismo";"2015-06-16 20:05:45+00";"organizacion";"Encuentro Diálogo y Corresponsabilidad";"Educación Expandida";"Organizaciones y Asociaciones de Vecinos";
"CIVICS";413;"Entre Patios";;"Grupo de personas heterogéneo con un objetivo común: vivir bajo otro modelo de convivencia en el que se integren sus inquietudes sociales y medioambientales. Entrepatios es una cooperativa de vivienda de cesión de uso y responde a la necesidad de anclar el lugar donde vivimos a los tres pilares de la sostenibilidad: social, económico y medioambiental.";;;"C/ Milagrosa";;;;"Madrid";"40.409918";"-3.73595";;;"http://entrepatios.org/";"https://www.facebook.com/CooperaCtiva";;"Asociaciones de Vecinos";"Urbanismo";"2015-06-16 20:05:45+00";"organizacion";"Encuentro Diálogo y Corresponsabilidad";"Urbanismo y Patrimonio";"Iniciativa Ciudadana";
"CIVICS";414;"Espacio Social Liberado Autogestionado EKO ";"ESLA Eko ";"La liberación del antiguo economato, El Eko, hizo posible este espacio abierto, multidisciplinar y autogestionado de acceso libre. Aquí podrás asistir a charlas informativas, proyecciones cinematográficas, talleres, representaciones teatrales... Han construido de forma colaborativa una biblioteca y una tienda libre y es la nave nodriza de la Oficina de Derechos Sociales que trabaja contra los desahucios y promovió la creación de una despensa solidaria.   ";;"ESLA Eko ";"C/ Ánade, 10";;;;"Madrid";"40.39173";"-3.731064";"eleko@eslaeko.net";;"http://eslaeko.net/";"https://www.facebook.com/amigasDeleko";"@EKO_Carabanchel";"Asociaciones de Vecinos";"Urbanismo";"2015-06-16 20:05:45+00";"organizacion";"Centro Social";"Apoyo Mutuo y Cuidados";"Iniciativa Ciudadana";
