"codImport";"idEntImport";"nombre";"nombreCorto";"fechaConstitucion";"nombreDireccion";"detalleDireccion";"direccion";"direccionBreve";"cp";"ciudad";"email";"telefono";"url";"facebook";"twitter";"clasificacion";"tipo";"descBreve"
"GUADA";"015";"Asociación Diocesana Scout Guadalajara MSC";;;;;"Calle Constitución, 8 - bajo A";"Calle Constitución, 8";"19003";"Guadalajara";"deleguada@hotmail.com";"949201384, 645584982";;;;"Juveniles";;
"GUADA";"016";"Seminario de Literatura Infantil y Juvenil";;;;;"Plaza de Dávalos, s/n";;"19001";"Guadalajara";"maratoncuentos@gmail.com";"949885229";"www.maratondeloscuentos.org";;;"Culturales";;
"GUADA";"017";"Centro Juvenil Don Bosco";;;;;"Calle Toledo, 24";;"19002";"Guadalajara";"cjdbguada@valdoro.com";"949212012
696232268949212012
696232268949212012
696232268949212012
696232268949212012
696232268949212012
696232268949212012
696232268949212012
696232268949212012
696232268949212012
696232268949212012
696232268949212012
696232268949212012
696232268949212012
696232268";;;;"Juveniles";;
"GUADA";"018";"Club Juvenil Luz Viva";;;;;"Avenida Pedro Sanz Vázquez, 27";;"19004";"Guadalajara";"alveus.msc@scout-es.net";"949254245";;;;"Juveniles";;
"GUADA";"019";"Vasija";;;;;"Calle Córdoba, 10 - 1ºB";"Calle Córdoba, 10";"19005";"Guadalajara";"vasija@asociacionvasija.com";"949217035";;;;"Social";;
"GUADA";"020";"Asociación Provincial de Diabéticos (ADE)";"ADE";;"Escuela Universitaria de Enfermería";"4º";"Calle Ferial, 31";;;"Guadalajara";;;;;;"Sanitaria";;
"GUADA";"021";"Asociación de Enfermos del Corazón (AECO)";"AECO";;"Centro Social Cifuentes";;"Calle Cifuentes, 26";;"19003";"Guadalajara";"corazonguada@gmail.com";"949010380";;;;"Sanitaria";;
"GUADA";"022";"Asociación de Voluntariado Alcarria";;;;;"Calle Gustavo Adolfo Bécquer, 6 - local 5";"Calle Gustavo Adolfo Bécquer, 6";"19004";"Guadalajara";;"949273242, 949200098";;;;"Mayores";;
"GUADA";"023";"Asociación Banco de Alimentos de Guadalajara";;;;;"Calle Gustavo Adolfo Bécquer, 6 - local 5";"Calle Gustavo Adolfo Bécquer, 6";"19004";"Guadalajara";"bancodeguadalajara@hotmail.com";"949200098, 609115307";;;;"Social";;
"GUADA";"024";"Asociación Cáritas Diocesana Sigüenza-Guadalajara";;;;;"Avenida de Venezuela, 9";;"19005";"Guadalajara";"coordinacion.cdsigu@caritas.es, caritas.cdsigu@caritas.es";"949220027";"www.siguenzaguadalajara.caritas.es";;;"Social";;
"GUADA";"025";"Asociación Cruz Roja Española - Guadalajara";;;;;"Avenida de Venezuela, 1";;"19005";"Guadalajara";"guadalajara@cruzroja.es";"949211184, 949226212";"www.cruzroja.es";;;"Social";;
"GUADA";"026";"Asociación de Amigos del Pueblo Saharaui";;;"Centro de Ocio Divervalles";;"Apartado de Correos 1053";;"19080";"Guadalajara";"saharaguada@yahoo.es";"676259398, 696967372";"www.saharaguada.com";"https://es-es.facebook.com/pueblosahara";;"Social";;
"GUADA";"027";"Guada Acoge";;;;;"Avenida de Venezuela, 9 - 1º";"Avenida Venezuela, 9";"19005";"Guadalajara";"guada.acoge@redacoge.org";"949253076";;;;"Social";;
"GUADA";"028";"Asociación Partir-Con";;;;;"Calle Toledo, 24";;"19002";"Guadalajara";"partircon@gmail.com";"949247299, 636248283";;;;"Social";;
"GUADA";"029";"AMPA del Colegio Aldonza de Mendoza";;;;;"Calle Constitución, 22 D";;"19003";"Guadalajara";;"949214233";;;;"Padres";;
"GUADA";"030";"Lactavida, Lactancia Materna";;;;;"Calle Viña Plana, 42";;"19005";"Guadalajara";"lactavida@gmail.com";"949337347, 639567008";"http://lactavida.blogspot.com.es/";;;"Mujeres";;
"GUADA";"031";"AMPA del Colegio Maristas Champagnat";;;;;"Calle Pedro Pascual, 2";;"19001";"Guadalajara";;;;;;"Padres";;
"GUADA";"032";"Federación de AMPAs Cristobal Oñate";;;;;"Avenida de Beleña, 9";;"19005";"Guadalajara";"fapagu@teleline.es";"949881106";;;;"Padres";;
"GUADA";"034";"Asociación de Madres, Padres y Tutores de Usuarios del Centro Ocupacional Las Encinas";;;;;"Poligono Industrial de Cabanillas, Parcela - 16 A";;"19171";"Cabanillas del Campo";"marisaalique@gmail.com";"949253374, 639945482";;;;"Sanitaria";;
"GUADA";"035";"AMPA Cardenal Mendoza";;;;;"Calle Laguna Grande, 10-12";;"19005";"Guadalajara";"cardenalmendoza@hotmail.com";;;;;"Padres";;
"GUADA";"036";"AMPA ""San Roque"" del CRA Francisco Ibáñez de Iriépal";;;;;"Plaza de la Constitución, s/n, Iriépal";;"19150";"Guadalajara";;"949228427";;;;"Padres";;
"GUADA";"038";"Club Deportivo Básico Usanos Club de Fútbol";;;;;"Calle Camino de Malaga, s/n";;"19181";"Usanos";;"949339039";;;;"Deportivas";;
"GUADA";"040";"Club Deportivo de Bolos Castellanos Prejubilados Mca-Ugt";;;;;"Plaza de Pablo Iglesias, 2";;"19001";"Guadalajara";;;;;;"Deportivas";;
"GUADA";"041";"Club Deportivo Elemental Pelota de Guadalajara";;;;;"Calle La Corredera, 17";;"19005";"Guadalajara";;;;;;"Deportivas";;
"GUADA";"042";"Club Natación Guadalajara";;;"Piscina municipal cubierta";;"Calle Regino Pradillo, s/n";;"19001";"Guadalajara";;"949210672";;;;"Deportivas";;
"GUADA";"043";"Asociación Club Sevillista Leal Graciani";;;;;"Calle Viña Plana, 9";;"19005";"Guadalajara";"futbolambrona23@hotmail.com";"949234997, 679766208";;;;"Deportivas";;
"GUADA";"044";"Asociación Deportiva Wado Ryu Alcarria Karate Do";;;;;"Calle Chorrón, 22";;"19005";"Guadalajara";"senseiherraiz@yahoo.es";"949219105";;;;"Deportivas";;
"GUADA";"045";"Asociación Deportiva Peña Txuri-Urdin Alcarreña";;;;;"Calle Doctor Rafael de la Rica, 33 - 4º B";"Calle Doctor Rafael de la Rica, 33";"19005";"Guadalajara";"franklozano2000@hotmail.com";"949256000, 663994853";"http://alkarre.blogspot.com.es/";;;"Deportivas";;
"GUADA";"046";"Asociación Sala de Armas de Guadalajara";;;;"3º Izq";"Calle Padre Tabernero, 18";;"19002";"Guadalajara";"salaarmas_gu@yahoo.es";;"www.sagu.es";"https://www.facebook.com/salaarmas.guadalajara";;"Deportivas";;
"GUADA";"047";"Asociación para el Síndrome de Down Guadalajara";"ASIDGU";;;;"Calle Tomás Camarillo, 21";;"19005";"Guadalajara";"asidgu@telefonica.net";"949222744, 607612239";"www.downguadalajara.org";;;"Sanitaria";;
"GUADA";"048";"Asociación para la Integración de Enfermos Psíquicos Alcarreña";"APIEPA";;;;"Avenida de Barcelona, 18 Bajo";;"19005";"Guadalajara";"apiepa@yahoo.es, jasper2@hotmail.es";"949222607";"www.apiepa.es";;;"Sanitaria";;
"GUADA";"049";"Asociación para la Lucha Contra Las Enfermedades del Riñón";"ALCER";;"Centro Social Cifuentes";;"Calle Cifuentes, 26";;"19003";"Guadalajara";"alcerguada@hotmail.com";"949210380, 606457226";;;;"Sanitaria";;
"GUADA";"050";"Asociación Alcarreña de Riñón y Discapacitados";"ASARYD";;;"local 21";"Calle Zaragoza, 6";;"19005";"Guadalajara";"conchita-marcos@hotmail.com";"949221926
616776116949221926
616776116949221926
616776116949221926
616776116949221926
616776116949221926
616776116949221926
616776116949221926
616776116949221926
616776116949221926
616776116949221926
616776116949221926
616776116949221926
616776116";;;;"Sanitaria";;
"GUADA";"051";"Asociación Las Encinas";;;;;"Calle Jorge Luis Borges, 9";;"19004";"Guadalajara";"asociacionlasencinas@hotmail.com";"949206360";"www.asociacionlasencinas.com";;;"Sanitaria";;
"GUADA";"052";"Asociación de Senegaleses en Guadalajara";;;;;"Calle Nuevo Alamín 6 - 2ºD";"Calle Nuevo Alamín, 6";"19005";"Guadalajara";"senegalesesgu@gmail.com";"949211706, 662147320";;;;"Culturales";;
"GUADA";"053";"Asociación Cultural Annus La Negra";;;;;"Travesía de Medina, 19 - Bajo A";"Travesía de Medina, 19";"19002";"Guadalajara";"ayelencarmen@gmail.com";"689875899";;;;"Culturales";;
"GUADA";"054";"Asociación Cultural Peña El Bizcocho Borracho";;;;;"Calle Toledo, 42 - 4ºB";"Calle Toledo, 42";"19002";"Guadalajara";"info@elbizcochoborracho.com";"618880091";"www.elbizcochoborracho.com";;;"Culturales";;
"GUADA";"055";"Asociación Cultural Peña Los Choitos";;;;;"Calle Antonio Buero Vallejo, 22 - 2º 3";"Calle Antonio Buero Vallejo, 22";"19004";"Guadalajara";"rocialex_@hotmail.com";;;;;"Culturales";;
"GUADA";"056";"Asociación Cultural de Vecinos y Amigos de Usanos";;;;;"Plaza de la Iglesia";;"19181";"Usanos (Guadalajara)";;;;;;"Vecinos";;
"GUADA";"057";"Asociación Cultural Amigos del Archivo Histórico Provincial de Guadalajara";;;"Palacio del Infantado";"2ª planta";"Plaza de los Caídos, 11";;"19001";"Guadalajara";"ahp.guadalajara@jccm.es";"949885652";"www.amigosahpgu.es";;;"Culturales";;
"GUADA";"059";"Asociación Cultural Los Dulzaineros de Guadalajara";;;;;"Calle San Isidro, 19 - 3ºA";"Calle San Isidro, 19";"19005";"Guadalajara";;;;;;"Culturales";;
"GUADA";"060";"Asociación Cultural Francófona de Guadalajara";;;"Centro Cívico";;"Plaza del Concejo, s/n";;"19001";"Guadalajara";;;;;;"Culturales";;
"GUADA";"061";"Asociación Casino Principal de Guadalajara";;;;;"Calle Mayor 22-24";;"19001";"Guadalajara";"luisalfonso@casinoguadalajara.es";"949226106";"www.casinoguadalajara.es";"https://es-es.facebook.com/casinogu";;"Culturales";;
"GUADA";"062";"Asociación Alcarreña para la defensa de la Naturaleza";"DALMA";;"Centro Cívico";;"Plaza del Concejo, s/n";;"19001";"Guadalajara";;;;;;"Culturales";;
"GUADA";"063";"Asociación Músico-Cultural La Esperanza";;;;;"Calle Felipe Solano Antelo, 8-C 6º3";;"19002";"Guadalajara";;;;;;"Culturales";;
"GUADA";"064";"Asociación para la Innovación y Desarrollo de la Artesanía de Guadalajara";"AIDA";;"Estación de Autobuses";;"Calle Dos de mayo, s/n";;"19004";"Guadalajara";"info@artesaniadeguadalajara.com";"949224522, 679043318";"http://artesaniadeguadalajara.wordpress.com";;;"Culturales";;
"GUADA";"065";"Asociación Cultural Natuistoria";;;"Centro Social La Amistad";;"Calle Felipe Solano Antelo, 15";;"19002";"Guadalajara";;;;;;"Culturales";;
"GUADA";"066";"Agrupación Fotográfica de Guadalajara";;;"Centro San José";"3º - desp. 315";"Calle Atienza, 4 ";"Calle Atienza, 4";"19003";"Guadalajara";"agrupacion.afgu@gmail.com";;"www.afgu.org";;;"Culturales";;
"GUADA";"068";"Asociación Cultural de Mayores Mundo del Trabajo";;;;;"Plaza de Europa, 3 - 5º";"Plaza de Europa, 3";"19002";"Guadalajara";"acmmundodeltrabajo@gmail.com";"949253080";;;;"Mayores";;
"GUADA";"069";"Asociación Cultural de Vecinos y Propietarios Vega del Cañal";;;;;"Calle José Antonio Ochaita, 22";;"19004";"Guadalajara";"pacocampina@gmail.com";"669339766";;;;"Vecinos";;
"GUADA";"070";"Asociación Cultural Grupo de Teatro Toronjil";;;;"4º Izq";"Calle Padre Tabernero, 18";;"19002";"Guadalajara";;;;;;"Culturales";;
"GUADA";"071";"Asociación EncuadernArte";;;;;"Calle Bulevar de Entrepeñas, 17 - 5ºB";"Calle Bulevar de Entrepeñas, 17";;"Guadalajara";;;;;;"Culturales";;
"GUADA";"072";"Asociación Artesana Nació en Belén";;;;;"Calle Hermanos Ros Emperador, 6";;"19002";"Guadalajara";"fernandolopezrey@hotamail.com";"659474668, 609267251";;;;"Culturales";;
"GUADA";"073";"Asociación de Mujeres Paz y Perdón";;;;;"Calle Castellón, 7";;"19005";"Guadalajara";"garcimamen@hotmail.com";"949232749";"http://asociacionpazyperdon.blogspot.com.es/";;;"Mujeres";;
"GUADA";"074";"Coordinadora de Asociaciones de Mujeres de Guadalajara";;;;;"Calle Miguel Hernández, 10";;"19004";"Guadalajara";"lolivalverde@yahoo.es";"949201029";;;;"Mujeres";;
"GUADA";"075";"Asociación de Viudas Virgen de la Antigua";;;;;"Plaza del Carmen, 1";;"19001";"Guadalajara";"av.virgendelaantigua@hotmail.com";"949220456, 699040205";;;;"Mujeres";;
"GUADA";"076";"Asociación de Mujeres de Iriépal";;;;;"Plaza del Ayuntamiento, 1";;"19150";"Iriepal (Guadalajara)";"esperanzaheras@hotmail.com";;;;;"Mujeres";;
"GUADA";"077";"Asociación Provincial de Amas de Casa, Consumidores y Usuarios Concepción Arenal.";;;;;"Calle Capitán Luis Pizaño, 11, Portal 6 - Bajo";"Calle Capitán Luis Pizaño, 11";"19001";"Guadalajara";"apaccu.c.arenal@gmail.com";"949211792";;;;"Mujeres";;
"GUADA";"078";"Asociación de Mujeres Atenea";;;;"3º";"Plaza del Concejo, s/n";;"19001";"Guadalajara";"pilarmmenendez@gmail.com";"949215097, 699575305";;;;"Mujeres";;
"GUADA";"079";"Asociación de Mujeres  Mayores Nuevo Milenio";;;"Centro Social Alamín";;"Calle Alamín, 30";;"19005";"Guadalajara";;"949214153";;;;"Mayores";;
"GUADA";"080";"Asociación de Mujeres La Amistad";;;"Centro Social La Amistad";;"Calle Felipe Solano Antelo, 15";;"19002";"Guadalajara";"a.mujeresamistad@hotmail.com";"696572163";;;;"Mujeres";;
"GUADA";"081";"Asociación Cultural Centroafricana";;;"Centro Social La Amistad";;"Calle Felipe Solano Antelo, 15";;"19002";"Guadalajara";;;;;;"Culturales";;
"GUADA";"082";"AVV Ferial, Panteón y Adyacentes";;;;;"Calle Azuqueca de Henares, 10- 4ºD";"Calle Azuqueca de Henares, 10";"19002";"Guadalajara";"jmlm@cnat.es";"949214157, 629329187";;;;"Vecinos";;
"GUADA";"083";"AVV Castilla";;;;;"Calle General Moscardó Guzmán, 39 bis";;"19004";"Guadalajara";;"949214810";;;;"Vecinos";;
"GUADA";"084";"AVV La Esperanza";;;"Centro Social La Amistad";;"Calle Felipe Solano Antelo, 15";;;"Guadalajara";;;;;;"Vecinos";;
"GUADA";"085";"AVV Miguel Hernández";;;"Centro Social Alamín";;"Calle Alamín, 30";;"19005";"Guadalajara";"aavv.miguelhernandez@yahoo.es";"678707297
678707298678707297
678707298678707297
678707298678707297
678707298678707297
678707298678707297
678707298678707297
678707298678707297
678707298678707297
678707298678707297
678707298";;;;"Vecinos";;
"GUADA";"086";"Federación de Asociaciones de Vecinos de Guadalajara";;;"Centro San José";"3º";"Calle Atienza, 4";;"19003";"Guadalajara";"federacionaavv@yahoo.es";"949217236";;;;"Vecinos";;
"GUADA";"087";"AVV Valdenoches";;;"Centro Social Taracena";;"Calle de Real, 3";;"19197";"Guadalajara";"asociacionvecinosvaldenoches@hotmail.com";;;;;"Vecinos";;
"GUADA";"089";"Unión de Consumidores de Guadalajara";;;;;"Calle Jorge Luis Borges, 5";;"19004";"Guadalajara";;;;;;"Consumo";;
"GUADA";"090";"Asociación de Jubilados y Pensionistas El Alamín";;;"Centro Social Alamín";;"Calle Alamín, 30";;"19005";"Guadalajara";;"949210845";;;;"Mayores";;
"GUADA";"092";"Club Atletismo La Esperanza";;;"Centro Social La Amistad";;"Calle Felipe Solano Antelo, 15";;"19002";"Guadalajara";"c.a.esperanza2000@hotmail.es";"689412185";"http://lamediadeguada.blogsport.com.es";;;"Deportivas";;
"GUADA";"093";"AVV La Merced";;;;;"Avenida del Vado, 5 - 2º C";"Avenida del Vado, 5";"19005";"Guadalajara";"aavv.lamercedguada@gmail.com";"949214352";;;;"Vecinos";;
"GUADA";"094";"Asociación Internacional Mujeres";;;"Centro Social Cifuentes";;"Calle Cifuentes, 26";;"19003";"Guadalajara";"mujeresinternacionales@gmail.com";"949226312";"www.mujeresinternacionales.org";;;"Mujeres";;
"GUADA";"096";"AVV Estación La Chopera";;;;;"Calle Federico López, 110";;"19004";"Guadalajara";"estacionlachopera@yahoo.es";"949227992, 686087286";;;;"Vecinos";;
"GUADA";"098";"Asociación Cultural de Botargas de Guadalajara";;;;;"Calle Ferial, 64B - 4ºA";"Calle Ferial, 64-B";"19002";"Guadalajara";;;;;;"Culturales";;
"GUADA";"099";"AMPA del Colegio Público Río Henares";;;;;"Calle Cuesta de Hita, 25";;"19005";"Guadalajara";;;;;;"Padres";;
"GUADA";"100";"Asociación de Pensionistas de la Administración Local";;;"Centro Social La Amistad";;"Calle Felipe Solano Antelo, 15";;"19002";"Guadalajara";;"949215491";;;;"Mayores";;
"GUADA";"101";"AMPA del Colegio Público Isidro Almazán Los Manantiales";;;;;"Calle Buenafuente, 15-17";;"19004";"Guadalajara";;;;;;"Padres";;
"GUADA";"102";"Asociación Española Contra el Cáncer - Guadalajara";"AECC-Guada";;"Escuela Universitaria de Enfermería";"3º";"Calle Ferial, 31";"Calle Ferial, 31";"19002";"Guadalajara";;;;;;"Sanitaria";;
"GUADA";"103";"Asociación Club Deportivo Elemental Academia Albiceleste";;;;;"Calle Alcala de Henares, 16 - 5º A";"Calle Alcala de Henares, 16";"19003";"Guadalajara";;;;;;"Deportivas";;
"GUADA";"104";"Asociación de Enfermos de Fibromialgia y Síndrome de Fatiga Crónica de Guadalajara";"AFIGUADA";;;"local 19";"Calle Zaragoza, 6";;"19005";"Guadalajara";"afiguada@gmail.com";"665533369, 949109014";"www.afiguada.es";;;"Sanitaria";;
"GUADA";"105";"Asociación Cultural Centro de Cultura Teológica y Foro de Estudios de Guadalajara";;;;;"Calle Balcón del Parque Fluvial, 7 bajo";"Calle Balcón del Parque Fluvial, 7";"19001";"Guadalajara";"cctguadalajara@cctguadalajara.org";;;;;"Culturales";;
"GUADA";"106";"Asociación en Defensa de los Enfermos de Anorexia y Bulimia Alcarreña";"ADABAL";;"Centro San José";;"Calle Atienza, 4";;"19003";"Guadalajara";"asociacion.adabal@gmail.com";"949235956, 618024152";;;;"Sanitaria";;
"GUADA";"107";"AVV Los Manantiales";;;"Centro Social Los Manantiales";;"Calle Buenafuente, s/n";;"19004";"Guadalajara";;"949201509, 677827826";;;;"Vecinos";;
"GUADA";"108";"Asociación Cooperación Social Guadalajara";;;"Centro Cívico";"3º";"Plaza del Concejo, s/n";;"19001";"Guadalajara";"javierblecua@hotmail.com";"696055407";;;;"Social";;
"GUADA";"109";"Asociación de Esclerosis Múltiple de Guadalajara";"ADEMGU";;;;"Calle Antonio Machado, 13";;"19004";"Guadalajara";"ademgu@msn.com";"949203381, 630838582";;;;"Sanitaria";;
"GUADA";"113";"Asociación Comparsa de Gigantes y Cabezudos de Guadalajara";;;;;"Calle Juan Diges Antón, 23 - 1ºC";"Calle Juan Diges Antón, 23";"19003";"Guadalajara";;;;;;"Culturales";;
"GUADA";"114";"Asociación Cultural de Rumanos Alcarreños";;;;;"Calle Constitucion, 7 - 7ºA";"Calle Constitucion, 7";"19003";"Guadalajara";"dinalidia@hotmail.com";;;;;"Culturales";;
"GUADA";"115";"Asociación Cultural de Mujeres Aguededas";;;;;"Calle Isabela, 16 - 1ºB";"Calle Isabela, 16";"19004";"Guadalajara";;;;;;"Mujeres";;
"GUADA";"116";"Asociación Cultural Coro Novi Cantores";;;;;"Travesia Arrabal del Agua, 1 - 2º C";"Travesia Arrabal del Agua, 1";"19005";"Guadalajara";;;;;;"Culturales";;
"GUADA";"117";"AVV Antonio Buero Vallejo";;;;;"Calle Gustavo Adolfo Becquer, 6 - local 7";"Calle Gustavo Adolfo Becquer, 6";"19004";"Guadalajara";"avantoniobuerovallejo@gmail.com";"949208812, 665285987";;;;"Vecinos";;
"GUADA";"118";"Asociación de Padres y Familiares de Toxicómanos de Guadalajara";;;;;"Calle General Moscardó Guzmán, 16 post";"Calle General Moscardó Guzmán, 16 post";"19004";"Guadalajara";;;;;;"Social";;
"GUADA";"119";"Asociación Amigos del Inglés One Way";;;"Centro Cívico";"4º";"Plaza del Concejo, s/n";;"19001";"Guadalajara";"calvoescribano@terra.com";;;;;"Culturales";;
"GUADA";"121";"Asociación Guadalajareña para la Rehabilitación de Jugadores de Juegos de Azar y su Ámbito Familiar en Guadalajara";"BANCARROTA";;;;"Calle Valencia, 25";;"19005";"Guadalajara";;;;;;"Social";;
"GUADA";"122";"Federación Provincial de Asociaciones de Mujeres de Guadalajara";;;"Centro San José";;"Calle Atienza, 4";;"19003";"Guadalajara";"federmujergu@gmail.com";;;;;"Mujeres";;
"GUADA";"124";"Asociación Cultural de Mujeres Quejigos";;;"Colegio Alvarfáñez";;"Calle Constitución, 31";;"19003";"Guadalajara";;;;;;"Mujeres";;
"GUADA";"125";"Asociación de Mujeres Barbacana";;;"Centro Social Bejanque";;"Calle Castellón, 7 - Bajo";"Calle Castellón, 7";"19005";"Guadalajara";"asociacion_barbacana@hotmail.com";;;;;"Mujeres";;
"GUADA";"126";"Asociación Sociocultural de Adultos y Área de la Mujer";;;"Centro Social Los Manantiales";;"Calle Buenafuente, s/n";;"19004";"Guadalajara";"asociaciondeadultosguada@hotmail.com";"949201509";;;;"Mujeres Culturales";;
"GUADA";"127";"Asociación Arriacense de Mujeres";;;;;"Avenida Pedro Sanz Vázquez, 17 - Bajo";"Avenida Pedro Sanz Vázquez, 17";"19004";"Guadalajara";"arriacensemujer@gmail.com";"677032968";;;;"Mujeres";;
"GUADA";"128";"Asociación de Mujeres El Alcázar";;;"Centro Social Venezuela";;"Avenida de Venezuela, 5";;"19005";"Guadalajara";"mariage_gp@hotmail.com";;;;;"Mujeres";;
"GUADA";"130";"Asociación Grupo de Estudios de Actualidad";;;;;"Avenida Castilla, 8A - 4ºC";"Avenida Castilla, 8A";"19003";"Guadalajara";;;;;;"Culturales";;
"GUADA";"133";"Asociación de Daño Cerebral Sobrevenido de Castilla La Mancha";"ADACE";;"Hospital La Merced";;"Paseo de la Estación, 2";;"19004";"Guadalajara";"guadalajara@adaceclm.org, ecretaria@adaceclm.org";"949219375, 696097179";"www.adaceclm.org";;;"Sanitaria";;
"GUADA";"134";"Asociación Micológica Alcarreña La Senderuela";;;"Centro Social Adoratrices";;"Calle Adoratrices, 37";;"19002";"Guadalajara";"amalasenderuela@yahoo.es";"696557096";;;;"Culturales";;
"GUADA";"135";"Asociación Provincial de Encajer@as de Bolillos de Guadalajara";;;"Centro Social La Amistad";;"Calle Felipe Solano Antelo, 15";;"19002";"Guadalajara";"encajerasdeguadalajara@gmail.com";;;;;"Culturales";;
"GUADA";"136";"Asociación de Padres y Amigos de niños con Deficiencia Auditiva de Guadalajara";"APANDAGU";;"Centro San José";;"Calle Atienza, 4";;"19003";"Guadalajara";"apandagu@gmail.com";"655670327, 949221449";"http://www.apandagu.com/
https://es-es.facebook.com/apandagu.guadalajara
https://twitter.com/Apandaguhttp://www.apandagu.com/
https://es-es.facebook.com/apandagu.guadalajara
https://twitter.com/Apandaguhttp://www.apandagu.com/
https://es-es.facebook.com/apandagu.guadalajara
https://twitter.com/Apandaguhttp://www.apandagu.com/
https://es-es.facebook.com/apandagu.guadalajara
https://twitter.com/Apandaguhttp://www.apandagu.com/
https://es-es.facebook.com/apandagu.guadalajara
https://twitter.com/Apandaguhttp://www.apandagu.com/
https://es-es.facebook.com/apandagu.guadalajara
https://twitter.com/Apandaguhttp://www.apandagu.com/
https://es-es.facebook.com/apandagu.guadalajara
https://twitter.com/Apandaguhttp://www.apandagu.com/
https://es-es.facebook.com/apandagu.guadalajara
https://twitter.com/Apandagu";;;"Sanitaria";;
"GUADA";"137";"Asociación Cultural Alamín";;;"Centro Social Alamín";;"Calle Alamín, 30";;"19005";"Guadalajara";"aculturalalamin@yahoo.es";"949210845, 686262301";;;;"Culturales";;
"GUADA";"138";"Asociación Rondalla La Rosaleda";;;;;"Calle Roncesvalles, 25";;"19004";"Guadalajara";;;;;;"Culturales";;
"GUADA";"139";"Asociación Católica Internacional de Servicios a la Juventud Femenina";;;;;"Calle Enrique Benito Chávarri, 3";;"19001";"Guadalajara";"acisjfgu@hotmail.com";"949219824, 629576709";;;;"Social";;
"GUADA";"140";"Asociación Provincial de Discapacitados Físicos";"APRODISFIGU";;;;"Calle Cardenal González de Mendoza, 8 post";;"19001";"Guadalajara";"aprodisfigu@gmail.com";;;;;"Sanitaria";;
"GUADA";"141";"Asociación Donantes de Sangre de Guadalajara";;;"Hospital del SESCAM";;"Calle Donantes de Sangre, s/n";;"19002";"Guadalajara";"dsangregu@hotmail.com";;;;;"Sanitaria";;
