ASOCIACION,SIGLAS,TIPO,DOMICILIO,CP,PREFIJO,TELEFONO,E-MAIL,DISTRITO, CLASIFICADA EN
ASOCIACION ALMADINA DE ALCALA DE HENARES,,general,C/ CALASANZ 2,28805,,646 74 61 31,,VI,CULTURALES
ASOCIACION AMANSALVA,,varios,CAMINO DE LA ESGARAVITA 2,28804,,699 16 55 99,asociacionamansalva@gmail.com,V,CULTURALES
ASOCIACION AMANTES IDIOMA CASTELLANO,,general,C/ NAVARRO Y LEDESMA 14 4º C,28807,91,882 73 27,,VII,CULTURALES
ASOCIACION ANIMACION Y PROMOCION SOCIOCULTURAL HENAR,,general,AVDA VIRGEN DEL VAL 2 ,28804,91,889 66 12,asociacion.henar@gmail.com,V,CULTURALES
ASOCIACION COLECTIVO ESCENICO LEGOLAS,,teatro,C/ RONDA PADRE SOLER 25 PORTAL 2 5º A,28806,,630 58 66 29,legolas@legolas.com.es,VIII,CULTURALES
ASOCIACION COLECTIVO ESCENICO LEGOLAS,,general,C/ RONDA PADRE SOLER 25 PORTAL 2 5º A,28806,,630 58 66 29,legolas@legolas.com.es,VIII,CULTURALES
ASOCIACION COMPLUTENSE DE BELENISTAS,,varios,C/ DAOIZ Y VELARDE 9,28807,91,888 74 91,,VII,CULTURALES
ASOCIACION COMPLUTENSE DE FARMACIA HOSPITALARIA,,educativa,SERVICIO DE FARMAC DEL HOSP PCPE DE ASTURIAS CTRA DE ALCALA MECO S/N,28805,91,887 81 15,mluque.hupa@salud.madrid.org,V,CULTURALES
ASOCIACION COMPLUTENSE DE INVESTIGACIONES SOCIOECONOMICAS SOBRE AMERICA LATINA,ACISAL,general,SANTA URSULA 1 ATICO ,28801,,639 14 98 91,manuel.casado@telefonica.net,I,CULTURALES
ASOCIACION CULTURAL A DERRADEIRA,,música,C/ CAMILO JOSE CELA 102  B 1,28806,,687 96 94 17,aderradeira@wanadoo.es,VIII,CULTURALES
ASOCIACION CULTURAL ALCALA PATRIMONIO DE LA HUMANIDAD,,varios,C/ LUGO 11 6º C,28804,91,889 38 42,correonieves@hotmail.com,V,CULTURALES
ASOCIACION CULTURAL ARGOS TEATRO,,teatro,C/ BARTOLOME DE CASTRO 11 4º A,28802,91,280 73 42,tfendarg@hotmail.com,II,CULTURALES
ASOCIACION CULTURAL ATENEAS,,general,C/ LUGO 7 3º D,28804,,636 01 77 96,atenearosa@hotmail.com,V,CULTURALES
ASOCIACION CULTURAL BALLET ALBENIZ,,danza,C/ RIBERA 16,28805,,649 85 01 06,pepevento@balletalbeniz.com,V,CULTURALES
ASOCIACION CULTURAL CIRCULO DE INSERGARD,,varios,C/ MURANO 8 6º A,28804,,,,IV,CULTURALES
ASOCIACION CULTURAL COMPLUTENSE DE DANZA,,danza,AVDA REYES CATOLICOS 28 2º B,28802,,626 71 45 25,danza_complutense@hotmail.com,II,CULTURALES
ASOCIACION CULTURAL CUARTETO DE PLECTRO ASSAI,,música,AVDA REYES CATOLICOS 14 Bº D,28802,91,802 73 19,assai@mundivia.es,II,CULTURALES
ASOCIACION CULTURAL DE AJEDREZ MUNICIPAL DE ALCALA,,varios,AVDA VIRGEN DEL VAL 2,28804,91,889 66 12,,V,CULTURALES
ASOCIACION CULTURAL DE AYUDA E INTEGRACION AL PUEBLO RUMANO,,general,CAMINO VIEJO  DE LA ESGARAVITA 12 1º B,28805,,678 05 62 34,asromalcala2002@yahoo.es,VI,CULTURALES
ASOCIACION CULTURAL DEL DON JUAN I,,educativa,C/ DAOIZ Y VELARDE 28,28807,91,881 51 56,,VII,CULTURALES
ASOCIACION CULTURAL FILARMONICA DE LA ORQUESTA CIUDAD DE ALCALA,,música,AVDA DE LOS JESUITAS S/N  C C GILITOS,28806,91,883 07 89,presidente@orquestadealcala.com,VIII ,CULTURALES
ASOCIACION CULTURAL HIJOS Y AMIGOS DE ALCALA,,general,C/ CID CAMPEADOR 5,28801,91,883 41 88,asociacion@hijosyamigosdealcala.com,I,CULTURALES
ASOCIACION CULTURAL LA LOCANDIERA TEATRO,,teatro,C/ RIO TURIA 4 3º A,28803,,635 12 17 04,marisol.trevino@yahoo.es,III,CULTURALES
ASOCIACION CULTURAL MALAYA,,general,C/ BRETON S/N ,28806,,646 32 19 27,acmalaya@yahoo.es,VIII,CULTURALES
ASOCIACION CULTURAL ORQUESTA Y CORO,,música,AVDA DE LOS JESUITAS S/N  C C GILITOS,28806,,696 22 66 17,,VIII,CULTURALES
ASOCIACION CULTURAL PARA LA INNOVACION TECNOLOGICA DEL ESTUDIO DE LA LENGUA,ACITEL,varios,C/ DAMASO ALONSO 3 3º A,28806,,,,VIII,CULTURALES
ASOCIACION CULTURAL PEÑALEN,,varios,C/ CARDENAL CISNEROS 26 2º,28802,91,882 31 93,penalen.alcala@ono.com,I,CULTURALES
ASOCIACION CULTURAL PETO,,varios,AVDA VIRGEN DEL VAL 1 5º D,28804,,686 41 72 42,,V,CULTURALES
ASOCIACION CULTURAL RECREARTE,,varios,C/ SANTANDER PUERTA 4 5º C,28804,91,883 14 54,acrecrearte@gmail.com,V,CULTURALES
ASOCIACION CULTURAL SODA,,varios,C/ SEGOVIA 3 6º C,28804,,635 66 30 85,davidsenen@hotmail.com,V,CULTURALES
ASOCIACION CULTURAL TALLER DE DANZA ALCALA,,danza,AVDA VIRGEN DEL VAL 2 ,28804,91,889 66 12,tallerdedanza@danzalcala.com,V,CULTURALES
ASOCIACION CULTURAL TEATRO INDEPENDIENTE ALCALAINO,TIA,teatro,PLAZA DE LOS IRLANDESES 2 1º B,28801,91,889 50 69,jblasco@lacallemayor.net,I,CULTURALES
ASOCIACION CULTURAL TEATRO YESES,,teatro,CARRETERA ALCALA MECO KM 5,28805,,649 58 22 09,teatroyeses@gmail.com,VI,CULTURALES
ASOCIACION CULTURAL ZARCO,,varios,C/ SANTIAGO 42,28801,,676 19 32 22,clubzarco@gmail.com,I,CULTURALES
ASOCIACION DE AFICIONADOS FILATELICOS,,filatelia,APARTADO DE CORREOS 204,28800,,,,V,CULTURALES
ASOCIACION DE AMIGOS DE LA UNIVERSIDAD DE ALCALA,,educativa,C/ SANTA URSULA 1 BAJO,28801,91,885 50 43,asociacionamigos.ua@uah.es,I,CULTURALES
ASOCIACION DE ANTIGUAS ALUMNAS DE EMA,,educativa,C/ ARCIPRESTE DE HITA S/N ESC MUNICIPAL PERSONAS ADULTAS,28801,91,882 46 91,ema@ayto-alcaladehenares.es,I,CULTURALES
"ASOCIACION DE ANTIGUAS ALUMNAS EPA ""DON JUAN I""",,educativa,C/ DAOIZ Y VELARDE 28 ESCUELA ADULTOS DON JUAN I,28807,91,881 51 56,pumer_pumer@hotmail.com,VII,CULTURALES
ASOCIACION DE ANTIGUOS ALUMNOS DE LA UNIVERSIDAD DE ALCALA,,educativa,C/ SANTA URSULA 1 1ª PLANTA,28801,91,885 50 31,antiguos.alumnos@uah.es,I,CULTURALES
ASOCIACION DE ESTUDIANTES Y LICENCIADOS DE FARMACIA POR ALCALA ,AELFA,educativa,FACULTAD DE FARMACIA CAMPUS UNIVERSITARIO,28805,91,885 46 65,aelfitos@gmail.com,VI,CULTURALES
ASOCIACION DE LOS SANTOS NIÑOS JUSTO Y PASTOR,,varios,C/ EMPECINADO S/N MAGISTRAL,28801,91,888 09 30,,I,CULTURALES
ASOCIACION DE MAGISTERIO SAN JOSE DE CALASANZ,,educativa,C/ DAOIZ Y VELARDE 9,28807,91,882 70 91,,VII,CULTURALES
ASOCIACION DE MUSICOS Y GRUPOS DE ALCALA,,música,C/ NUEVO BAZTAN 9 1º C,28806,,651 48 28 98,censoalcala@yahoo.es,VIII,CULTURALES
ASOCIACION DE SORDOS DE ALCALA DE HENARES,,varios,C/ PABLO CORONEL 34 Bº ESQUINA PLAZA 1 DE MAYO,28802,,629 25 05 45,a_sordos_a_h@hotmail.com,II,CULTURALES
ASOCIACION DE UCRANIANOS DE ALCALA DE HENARES,,general,C/ BUENDIA 6 2º B,28803,,615 64 31 93,ukrshkolaalcala@bigmir.net,III,CULTURALES
ASOCIACION ESPAÑOLA DE ENSEÑANZA TECNICO PROFESIONAL,AEDETP,educativa,C/ TENIENTE RUIZ 10 3º 3,28805,91,888 08 74,administracion@aedetp.net,VI,CULTURALES
ASOCIACION GRUPO CULTURAL EL VAL,,general,C/ CUENCA 1,28804,,,,V,CULTURALES
ASOCIACION JOVENES ABOGADOS DE ALCALA,,varios,C/ COLEGIOS 1,28801,91,882 92 68,,I,CULTURALES
ASOCIACION MOROS Y CRISTIANOS DE ALCALA DE HENARES,,varios,C/ LUIS VIVES 14 LOCAL,28803,91,887 04 16,,III,CULTURALES
ASOCIACION NACIONAL DE USUARIOS DE REDES INALAMBRICAS,ANURI,varios,,,,686 63 93 47,asociacion@alcalawireless.com,,CULTURALES
ASOCIACION PARA EL CRECIMIENTO PERSONAL Y LA SALUD,,educativa,C/ RICO HOME 3-5,28801,,679 78 55 69,acpsalud@terra.es,I,CULTURALES
ASOCIACION PEDAGOGICA NAHAR,,educativa,C/ RUBEN DARIO 14,28806,91,802 07 28,rllull@eresmas.com,VIII,CULTURALES
ASOCIACION PROVIDA ALCALA DE HENARES,,varios,C/ LEOPOLDO ALAS CLARIN 13,28806,91,878 76 60,alcala@provida.es,VIII,CULTURALES
ASOCIACION SOCIOCULTURAL AMANECER  BONOVO,ASCAB,general,APARTADO DE CORREOS 2024,28800,,659 18 33 30,amanecerbonovo@yahoo.es,I,CULTURALES
ASOCIACION SOCIOCULTURAL ERAS DE SAN ISIDRO,,general,C/ DAOIZ Y VELARDE 9,28807,91,888 55 20,,VII,CULTURALES
ASOCIACION UNION HISPANO RUMANA DACIA EN ALCALA DE HENARES ,,general,C/ FEDERICO GARCIA LORCA 23 2º A,28806,,665 11 65 58,uniunea@gmail.com,IX,CULTURALES
ASOCIACION UNIVERSITARIA GURUCAN,AUG,varios,"FACULTAD DE BIOLOGIA EDIFIC DE CIENCIAS CAMPUS UNIV CTRA MADRID BARCELONA KM 33,600",28805,91,889 22 07,,VI,CULTURALES
ATENEO CULTURAL Iº DE MAYO (CCOO),,general,VIA COMPLUTENSE 19,28807,91,280 06 52,,VII,CULTURALES
AULA DE TEATRO,,teatro,C/ TRINIDAD 5 ,28801,91,883 28 69,teatro@cenah.es,I,CULTURALES
BANDA SINFONICA COMPLUTENSE DE ALCALA DE HENARES,,música,C/ ALALPARDO S/N ,28806,,690 81 23 73,sinfocomplutense@tiscali.es,VIII,CULTURALES
BIBLIOTECA Y LUDOTECA VIRGEN DE BELEN,,literaria,C/ NUESTRA SEÑORA DE BELEN 14 Bº C ,28802,91,888 63 47,,II,CULTURALES
BROCAR ASOCIACION BIBLIOFILA CULTURAL,,literaria,C/ NAVARRO Y LEDESMA 6 5º A PARQUE SAN FERNANDO,28807,91,888 22 05,alcalaliber@gmail.com,VII,CULTURALES
CAMPING CARAVANING CLUB,,varios,RONDA FISCAL 42,28803,,608 01 53 04,,III,CULTURALES
CASA DE CULTURA Y SOLIDARIDAD,CYS,varios,C/ PINTOR PICASSO 14,28807,,676 43 52 77,alcala@solidaridad.net,VII,CULTURALES
CATALEJO TEATRO,,teatro,C/ TOLEDO 11 6º C,28804,91,888 49 25,,V,CULTURALES
CENTRO CULTURAL Y JUVENIL ADAC,,varios,C/ JUAN DE ZUÑIGA 3 1º B,28805,,662 40 45 03,asociacionculturaladac@hotmail.com,V,CULTURALES
CENTRO CULTURAL Y RECREATIVO EL CHORRILLO,,general,C/ BRETON S/N,28806,,655 15 04 37,,VIII,CULTURALES
CENTRO JUVENIL CISNEROS,,general,C/ CARDENAL CISNEROS 5-7,28801,91,888 04 97,cisneros@valdoco.com,I,CULTURALES
CIRCULO DE CONTRIBUYENTES,,general,PLAZA DE CERVANTES 9,28801,91,880 42 43,,I,CULTURALES
CLUB DE INVESTIGACIONES SUBTERRANEAS,GIS,espeleología,AVDA VIRGEN DEL VAL 2 ,28804,91,889 66 12,espeleogis@wanadoo.es,V,CULTURALES
CLUB UNESCO ALCALA DE HENARES,,,C/ DAOIZ Y VELARDE 28,28807,,696 44 15 06,,VII,CULTURALES
COLECTIVO ACTIVIDAD,,bellas artes,APARTADO DE CORREOS 36,28800,91,880 57 14,cactividad@arrakis.es,V,CULTURALES
COLECTIVO ACTIVIDAD,,imagen y sonido,APARTADO DE CORREOS 1076,28800,91,880 57 14,cactividad@arrakis.es,V,CULTURALES
COLECTIVO ACTIVIDAD,,música,APARTADO DE CORREOS 36,28800,91,880 57 14,cactividad@arrakis.es,V,CULTURALES
COLECTIVO ACTIVIDAD,,general,APARTADO DE CORREOS 36,28800,91,880 57 14,cactividad@arrakis.es,V,CULTURALES
COLECTIVO DE INFORMACION Y ASESORAMIENTO JUVENIL,CIDAJ,general,C/ SAN FELIPE NERI 1,28801,91,879 74 00,infocidaj@ayto-alcaladehenares.es,I,CULTURALES
COMISION DE ESTUDIOS DEL PATRIMONIO HISTORICO DE ALCALA DE HENARES Y SU TIERRA,,varios,C/ MADRE DE DIOS 4 8º C,28801,,,,I,CULTURALES
CORAL ALCALAINA PUEBLOS DE ESPAÑA,,música,C/ DAOIZ Y VELARDE 9,28807,91,889 96 70,capueblosdespaña@gmail.com,VII,CULTURALES
CORAL POLIFONICA COMPLUTENSE,,música,C/ DAOIZ Y VELARDE 9,28807,91,802 67 87,,VII,CULTURALES
CORO DE LA UNIVERDIDAD DE ALCALA DE HENARES,,música,DPTO QCA ORGANICA FACULTAD DE FARMACIA CAMPUS UNIVERSITARIO,28805,91,885 46 15,coro.universitario@uah.es,VI,CULTURALES
CORO DE MUJERES NUBA,,música,PARQUE SAN FERNANDO 9 4º,28807,,,,VII,CULTURALES
CORO LIRICO MIGUEL DE CERVANTES,,música,C/ DAOIZ Y VELARDE 9,28807,91,889 98 10,coroalcervantes@yahoo.es,VII,CULTURALES
CUARTETO DE FLAUTAS DE PICO EL JUBILATE,,música,C/ SANTA URSULA 7 2º,28801,91,882 81 60,commedia@elteatrodelfinikito.com,I,CULTURALES
EL TEATRO DEL FINIKITO,,teatro,C/ SANTA URSULA 7 2º,28801,91,882 81 60,laoficina@elteatrodelfinikito.com,I,CULTURALES
ENTROPIA ALCALA DE HENARES,,general,PASEO DE LOS CURAS 20 8º 4,28803,,626 74 34 08,entropiaweb@gmail.com,III,CULTURALES
ESPEJO DE CALLE,,teatro,C/ RIO MANZANARES 7 4º D,28803,91,883 73 01,,IV,CULTURALES
FEDERACION DE TEATRO AFICIONADOS DE LA CAM,,teatro,C/ TOLEDO 11 6º C,28804,91,888 49 25,,V,CULTURALES
FEDERACION ESPAÑOLA DE ESTUDIANTES DE FARMACIA,FEEF,educativa,FACULTAD DE FARMACIA CAMPUS UNIVERSITARIO,28805,91,885 46 65,aelfitos@gmail.com,VI,CULTURALES
FLIER DEMONS BREAK DANCE DE ALCALA DE HENARES,,danza,C/ BOLARQUE 7 5º B,28803,91,881 44 87,jlsanchez79@hotmail.com,IV,CULTURALES
FORO DEL HENARES,,general,PLAZA DE LOS IRLANDESES 9 ,28801,91,883 51 17,forodelhenares@gmail.com,I,CULTURALES
FOVIA IMAGEN,,imagen y sonido,C/ RIO PISUERGA 13 PORTAL 2 2º B,28803,91,881 12 36,,III,CULTURALES
FUNDACION FELIX GRANDA,,general,C/ GALILEO GALILEI 19 POLIGONO INDUSTRIAL (LA GARENA),28806,91,802 36 55,fundacion@artegranda.com,VIII,CULTURALES
FUNDACION PARA EL DESARROLLO HUMANO DE AFRICA,,general,C/ NICOLAS DE OVANDO 4 1º C,28802,,648 65 51 33,info@africanfuture.org,II,CULTURALES
GRUPO DE DULZAINAS DE ALCALA ,,música,AVDA VIRGEN DEL VAL 2 ,28804,91,880 97 09,dsgalcala@gmail.com,V,CULTURALES
GRUPO DE TEATRO A TRANCAS Y BARRANCAS,,teatro,C/ STA TERESA 3 6º B ESC DCHA ,28803,91,889 36 61,,II,CULTURALES
GRUPO DE TEATRO OPERA PRIMA,,teatro,C/ ORENSE 11 4º B,28804,,676 43 24 15,lupaai@auna.com,V,CULTURALES
GRUPO DESPERTAR,,varios,C/ SANTIAGO 29 ,28801,91,881 03 98,,I,CULTURALES
GRUPO LITERARIO OMNIA,,literaria,C/ BARBERAN Y COLLAR 4 7º A,28805,91,881 98 92,g-l-o@hotmail.com,VI,CULTURALES
INSTITUCION DE ESTUDIOS COMPLUTENSES,,general,C/ SANTA URSULA 1 2ª PLANTA,28801,91,885 50 32,i.eecc@uah.es,I,CULTURALES
INSTITUTO ARCO IRIS,,varios,C/ RICO HOME 3-5,28801,,676 50 00 32,info@institutoarcoiris.es,I,CULTURALES
JUVENTUDES MUSICALES DE ALCALA DE HENARES,,música,RONDA FISCAL  38,28803,91,881 61 79,escuela@musicaenalcala.com,III,CULTURALES
MUTUAL COMPLUTENSE,,bellas artes,C/ NUEVA 10,28801,91,882 83 92,mutualcomplutense@mutualcomplutense.org,I,CULTURALES
ORQUESTA DE PULSO Y PUA TABLATURA,,música,C/ GRANADA 4 3º C,28802,91,889 07 37,tablatura.prado@yahoo.es,II,CULTURALES
PEÑA CULTURAL FLAMENCA EL TRONIO,,música,VIA COMPLUTENSE 121 TALLERES BARRANCO,28805,91,888 19 95,,VI,CULTURALES
PEÑA FLAMENCA LOS SORDERA,,música,C/ ESCRITORIOS 3 ,28801,91,881 60 38,,I,CULTURALES
PLATAFORMA COMPLUTENSE,,varios,C/ DIVINO VALLES 2 2º A,28805,91,882 19 56,,VI,CULTURALES
SCHOLA CANTORUM DE ALCALA DE HENARES,,música,C/ SAN JUAN 2,28801,,649 07 74 49,scholaalcala@yahoo.es,I,CULTURALES
SOCIEDAD DE CONDUEÑOS,,general,PLAZA DE CERVANTES 10,28801,,,,I,CULTURALES
SOCIEDAD LIRICA COMPLUTENSE,,música,C/ DAOIZ Y VELARDE 9 ,28807,,,,VII,CULTURALES
TALLER DE ARTES PLASTICAS DE ALCALA DE HENARES,,bellas artes,AVDA VIRGEN DEL VAL 2 ,28804,91,889 66 12,t.a.p.a@hotmail.com,V,CULTURALES
TALLER DE TEATRO MARUJASP,,teatro,C/ LUIS CERNUDA 21,28806,,610 39 99 59,maru-jasp@hotmail.com,VIII,CULTURALES
TALLER DE TEATRO PUNTO Y APARTE,,teatro,AVDA VIRGEN DEL VAL 2,28804,91,889 66 12,,V,CULTURALES
TEATRO EL CLAVO,,teatro,C/ CANOVAS DEL CASTILLO 5 5º I,28807,91,882 84 04,,VII,CULTURALES
TEATRO ESCUELA LIBRE DE ALCALA,TELA,teatro,AVDA DE LOS JESUITAS S/N  C C GILITOS,28806,91,889 28 22,,VIII,CULTURALES
TUNA UNIVERSITARIA DE ALCALA DE HENARES,,musica,C/ TRINIDAD 11,28801,91,883 36 15,,I,CULTURALES
UNION DE RADIOAFICIONADOS ESPAÑOLES,,imagen y sonido,APARTADO DE CORREOS 201,28800,,645 31 15 65,seccion.henares@ure.es,VIII,CULTURALES
ALCALA MAGALLANES PATIN,,patinaje,C/ NUESTRA SEÑORA DE BELEN 19,28802,,,,II,DEPORTIVAS
ALKALA NAHAR,,piragüismo,AVDA JUAN DE AUSTRIA 6 1º C,28805,,,,V,DEPORTIVAS
ASOCIACION CALVA REYES CATOLICOS,,calva,C/ SAN FRUCTUOSO 4 5º D,28803,91,881 15 58,,III,DEPORTIVAS
ASOCIACION CULTURAL DE AJEDREZ MUNICIPAL DE ALCALA,,ajedrez,AVDA VIRGEN DEL VAL 2,28804,91,889 66 12,ortizsj@munimadrid.es,V,DEPORTIVAS
ASOCIACION DE SORDOS DE ALCALA DE HENARES,,varios,C/ PABLO CORONEL 34 Bº ESQUINA PLAZA 1 DE MAYO,28802,,629 25 05 45,a_sordos_a_h@hotmail.com,II,DEPORTIVAS
ASOCIACION DEPORTIVA CLUB MONTAÑA VIVAC,,varios,C/ MAYOR 58 3º C,28801,91,881 78 70,smvivac@teleline.es,I,DEPORTIVAS
ASOCIACION DEPORTIVA COMPLUTENSE NADADOR,,futbol,PASEO DE AGUADORES S/N,28804,91,883 55 12,,IV,DEPORTIVAS
ASOCIACION DEPORTIVA DARDOS LA MANCHA,,dardos,C/ RIO NALON 1 2º A,28804,91,881 03 45,,IV,DEPORTIVAS
ASOCIACION DEPORTIVA DART COMPLUTENSE,,dardos,C/ RIO NALON 1 2º A,28804,91,881 03 45,,IV,DEPORTIVAS
ASOCIACION DEPORTIVA EL CHORRILLO,,futbol,C/ CAMPO REAL S/N,28806,91,880 01 71,,VIII,DEPORTIVAS
ASOCIACION DEPORTIVA HENARES,,futbol,RONDA FISCAL 2,28803,91,882 13 91,,III,DEPORTIVAS
ASOCIACION DEPORTIVA NAYA,,futbol,CAMINO DE TEATINOS S/N,28806,91,889 35 43,,VIII,DEPORTIVAS
ATLETICO ALCALA CLUB FUTBOL,,futbol,CAMINO DEL JUNCAL 16 1º B,28802,91,880 03 67,,II,DEPORTIVAS
ATLETISMO JUVENTUD ALCALA,AJA,atlestismo,AVDA VIRGEN DEL VAL 57 2º B,28804,91,882 56 53,Ortiz1972@hotmail.com,V,DEPORTIVAS
BICICLETAS TODO TERRENO IBEX,,ciclismo,C/ RIO SEGRE 7,28803,91,882 04 23,,III,DEPORTIVAS
BIKE RACING MTB,,ciclismo,C/ PUERTA DEL VADO 5,28803,91,883 35 05,bikeracin@wanadoo.es,III,DEPORTIVAS
BOLOS COMPLUTENSE,,bolos,C/ DIEGO DE URBINA 5 1º IZQ,28805,,,,VI,DEPORTIVAS
CAMPING CARAVANING CLUB,,varios,RONDA FISCAL 42,28803,,608 01 53 04,,III,DEPORTIVAS
CLUB BADMINTON ALCALA,,badminton,C/ MURILLO 1 5º A,28805,91,888 18 34,amiguel123@hotmail.com,VII,DEPORTIVAS
CLUB BALONCESTO JUAN DE AUSTRIA ALCALA,,baloncesto,C/ JUAN DE AUSTRIA 17,28805,91,888 63 50,,VI,DEPORTIVAS
CLUB BEEP'S FUTBOL SALA,,futbol,C/ TORRELAGUNA 23 1º B,28806,91,880 58 40,,VIII,DEPORTIVAS
CLUB CALVA ALCALA DE HENARES,,calva,C/ SEGOVIA 26 3º A,28804,91,889 84 45,,V,DEPORTIVAS
CLUB CICLISTA IPLACEA,,ciclismo,AVDA VIRGEN DEL VAL 4,28804,91,878 71 70,cciplacea@terra.es,V,DEPORTIVAS
CLUB COMPLUTENSE DE BOLO LEONES,, ,C/ ROJAS ZORRILLA 6 6º D,28805,91,881 24 73,,V,DEPORTIVAS
CLUB DARDOS TREBOL,,dardos,C/ RESURECCION 2 BAJO ,28807,91,881 61 99,,VII,DEPORTIVAS
CLUB DE INVESTIGACIONES SUBTERRANEAS,GIS,espeleología,AVDA VIRGEN DEL VAL 2,28804,91,889 66 12,espeleogis@wanadoo.es,V,DEPORTIVAS
CLUB DEPORTIVO  ALPINO JUNCAL,,futbol,AVDA REYES CATOLICOS 54 3º A,28802,91,880 81 53,,II,DEPORTIVAS
CLUB DEPORTIVO  Y CULTURAL IVIASA,,varios,C/ AMADEO VIVES 3,28806,91,878 88 98,iviasa@telefonica.net,VIII,DEPORTIVAS
CLUB DEPORTIVO ALCALA FUTBOL SALA,,futbol,C/ AVILA 44,28805,,677 60 72 83,alcasala@telefonica.net,VI,DEPORTIVAS
CLUB DEPORTIVO AVANCE,,futbol,"CARRETERA N-II KM 34,200",28805,91,882 40 35,cdavance@eresmas.com,VI,DEPORTIVAS
CLUB DEPORTIVO BALONCESTO ALCALA,,baloncesto,C/ LOGROÑO 10 ,28805,91,878 76 86,administracion@cdhercesa.com,V,DEPORTIVAS
CLUB DEPORTIVO BALONMANO PLAYA ALCALA,,balonmano,C/ JORGE LUIS BORGES 26 3º B,28806,,658 51 07 84,zapa@cdiplacea.org,VIII,DEPORTIVAS
CLUB DEPORTIVO BAR PEÑALVER SAN ISIDRO,,futbol,C/ DOCTORA DE ALCALA 4,28807,91,888 20 17,,VII,DEPORTIVAS
CLUB DEPORTIVO BUCEO ALCALA,,actividades subacuáticas,C/ CADIZ 5 1º B,28804,91,878 92 27,,IV,DEPORTIVAS
CLUB DEPORTIVO COLEGIO ESCOLAPIOS,,futbol,AVDA LOPE DE FIGUEROA 27 BAJO,28804,91,889 31 58,rec.al3@escolapios.es,V,DEPORTIVAS
CLUB DEPORTIVO DIPSAL,,futbol,AVDA REYES CATOLICOS 4 4º G,28802,91,889 89 64,,II,DEPORTIVAS
CLUB DEPORTIVO DISTRITO II,,futbol,VIA COMPLUTENSE 81 7º D,28805,91,882 65 98,,VI,DEPORTIVAS
"CLUB DEPORTIVO ELEMENTAL DE MONTAÑA ""BOTA Y MOSQUETON""",,senderismo,C/ VIRGEN DE LORETO 6 2º C,28805,,671 33 37 40,botaymosqueton@hotmail.com,V,DEPORTIVAS
CLUB DEPORTIVO FERRAZ NADADOR,,futbol,C/ VITORIA 40,28804,91,889 16 77,,V,DEPORTIVAS
CLUB DEPORTIVO FILIPENSE,,baloncesto,C/ ESCRITORIOS 6,28801,,620 69 53 57,,I,DEPORTIVAS
